,alpha,beta_1,beta_2,beta_3,beta_4,beta_5
A,-5.263707965581045e-18,0.6901766509271794,-0.026421327919599412,0.13831814836238357,-0.10653061127417965,0.012416403216873383
AAPL,-8.87429177532109e-18,0.5363264160726912,0.05803356473178253,0.11028304024646561,-0.3843100430514801,0.08324371587352382
ABT,9.111357795939642e-18,0.5570094214390122,-0.3522968161704544,-0.2205721903984765,0.19096250547779564,0.15091527192094772
ACGL,1.4465493040700535e-17,0.6267193693745674,0.06316185422206244,-0.04143507029746904,0.11140157069266715,0.012357741333367027
ACN,1.3355581402614008e-17,0.5885564458176648,-0.03490976927363977,0.07130505491534865,-0.08549102082493146,0.05288423270842374
ADBE,-1.9401727345201367e-18,0.6581792014954011,-0.0015728093343270605,0.12150574240682792,-0.19038611458835092,0.1400860444066606
ADI,-1.6866174850110187e-18,0.6263071420741736,0.0036540131682682372,0.07462724391048314,-0.2081586046390079,0.0874998389651762
ADM,-4.7982216322464055e-18,0.5756311029187496,-0.07558033255486649,0.13603235749290563,0.03986233370974342,-0.030921854558347235
ADP,2.2476827617131338e-18,0.73778881731175,-0.08798855185852078,-0.011370475294729704,-0.08489526345185895,0.01676293751331328
ADSK,1.3759074024301883e-17,0.6200511057073962,0.02993679876069822,0.09542165771262957,-0.12027362779816211,0.031275234173562934
AEE,-6.983670559791969e-18,0.6767558287622475,-0.2386336730118251,0.09484914511924078,0.28532953376686787,-0.10326407023414935
AEP,1.2293830787430952e-17,0.6339046003549985,-0.28702405284755456,0.07147002779510946,0.24153877018723774,-0.11737250458523271
AES,-7.696414898948465e-18,0.6308694778650585,-0.07679782902939053,0.3094809390251438,0.2592016239146327,-0.21301394565976062
AFL,5.031797105992172e-18,0.6961446791122974,0.20427783747683717,0.02678415482575685,0.13672839121884883,0.046040674848952856
AIG,4.517225511265662e-18,0.4771777671907935,0.12816964446372237,0.0004460318289099957,0.10989361102304882,0.04999823535674971
AJG,1.0570187982591033e-17,0.5259802906434797,0.11372585710720112,-0.14343482502743532,0.020885354091018958,-0.04490200444985043
AKAM,-1.0045954143033766e-18,0.4931032280132773,0.05174131154920347,0.08340979137965218,-0.13926147027845712,-0.013750818552775858
ALB,-7.97610392106929e-18,0.7118099403428085,0.03594419579065049,0.17479332705063544,-0.05653428975451618,-0.04481157783010621
ALGN,1.661457629716266e-17,0.4016375526126699,0.026900874278235183,0.0021771039071550313,-0.05378417333666137,0.042235158818714216
ALK,3.845652689362083e-18,0.5419291166192379,0.10357945939808694,-0.19649306632309396,-0.08337639593395689,-0.053025091530905746
ALL,-1.4310544615612058e-18,0.7250219196693659,0.16379007553933692,-0.027097140719727783,0.1743802353634551,0.0555193169818988
AMAT,2.5604733007354234e-18,0.6464742481355082,0.07030565381588175,0.08557972257827079,-0.212228867066078,0.056757016961886286
AMD,3.504478968904527e-18,0.48648307942331626,0.09192657582837155,0.09686280785320789,-0.16116553170433562,0.04493601484785199
AME,2.744719456153423e-18,0.7249970713905416,0.010587873418922355,0.11149017429636932,-0.10307918623714177,-0.05028934584454093
AMGN,1.7854313912923837e-17,0.5379262313770647,-0.3215684908972278,-0.03835451382640076,-0.06021629979649597,0.15073069885224627
AMT,7.008467056127037e-18,0.6343855901464694,0.042278271748453826,0.004738161751666078,-0.029559481294626523,-0.02261280734711415
AMZN,-1.4516900675652392e-17,0.5302506361746211,0.015569891692989946,0.0027661405334072093,-0.185229386437559,0.04803062327800901
ANSS,1.1634396255876204e-17,0.606317967851006,0.03999559949614365,0.041357113474752544,-0.14527742899256255,-0.0027927155257122535
AON,-2.8718586874047883e-18,0.5481527341450055,0.03387248893176295,-0.08741572013606301,-0.013770716730412016,-0.0008150175204167916
